PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Group,Deck,CabinNumber,Side,LastName,N_family_members,N_group_members,Regular,Luxury,TotalSpendings
0001_01,1.0,0.0,2.0,39.0,0.0,0,0.0,1.0,0.0,0.0,1431.0,0.0,0.0,0.0,0.0,0.0
0002_01,0.0,0.0,2.0,24.0,0.0,1,1.0,5.0,0.0,1.0,2109.0,3.0,0.0,34.0,629.0,334.0
0003_01,1.0,0.0,2.0,58.0,1.0,0,2.0,0.0,0.0,1.0,1990.0,5.0,1.0,1587.0,2103.0,2199.0
0003_02,1.0,0.0,2.0,33.0,0.0,0,2.0,0.0,0.0,1.0,1990.0,5.0,1.0,1188.0,1819.0,1816.0
0004_01,0.0,0.0,2.0,16.0,0.0,1,3.0,5.0,1.0,1.0,1778.0,5.0,0.0,217.0,789.0,620.0
0005_01,0.0,0.0,1.0,44.0,0.0,1,4.0,5.0,0.0,0.0,977.0,6.0,0.0,440.0,260.0,370.0
0006_01,0.0,0.0,2.0,26.0,0.0,1,5.0,5.0,931.0,1.0,1080.0,6.0,1.0,1142.0,42.0,907.0
0006_02,0.0,1.0,2.0,28.0,0.0,1,5.0,6.0,0.0,1.0,1080.0,6.0,1.0,0.0,0.0,0.0
0007_01,0.0,0.0,2.0,35.0,0.0,1,6.0,5.0,1042.0,1.0,168.0,4.0,0.0,726.0,195.0,575.0
0008_01,1.0,1.0,0.0,14.0,0.0,1,7.0,1.0,1.0,0.0,719.0,2.0,2.0,0.0,0.0,0.0
0008_02,1.0,1.0,2.0,34.0,0.0,1,7.0,1.0,1.0,0.0,719.0,2.0,2.0,0.0,0.0,0.0
0008_03,1.0,0.0,0.0,45.0,0.0,1,7.0,1.0,1.0,0.0,719.0,2.0,2.0,1845.0,246.0,2111.0
0009_01,2.0,0.0,2.0,32.0,0.0,1,8.0,5.0,1.0,0.0,122.0,3.0,0.0,934.0,172.0,745.0
0010_01,0.0,0.0,2.0,48.0,0.0,0,9.0,6.0,1.0,1.0,97.0,4.0,0.0,66.0,669.0,403.0
0011_01,0.0,0.0,2.0,28.0,0.0,1,10.0,5.0,931.0,0.0,167.0,3.0,0.0,864.0,17.0,564.0
0012_01,0.0,0.0,2.0,31.0,0.0,0,11.0,4.841963736361155,1361.1760901510947,0.49646262035590993,1573.0,6.0,0.0,786.0,32.0,496.0
0014_01,2.0,0.0,0.0,27.0,0.0,0,12.0,5.0,1042.0,0.0,636.0,0.0,0.0,220.9478686138501,1090.0,725.0
0015_01,0.0,0.0,0.0,24.0,0.0,0,13.0,5.0,1153.0,0.0,1027.0,6.0,0.0,1.0,566.0,240.0
0016_01,2.0,1.0,2.0,45.0,0.0,1,14.0,5.0,1264.0,0.0,2088.0,2.0,0.0,0.0,0.0,0.0
0017_01,0.0,0.0,2.0,0.0,0.0,1,15.0,6.0,0.0,0.0,251.0,5.0,1.0,0.0,0.0,0.0
0017_02,0.0,0.0,0.0,14.0,0.0,0,15.0,5.0,1375.0,0.0,251.0,5.0,1.0,1.0,960.0,621.0
0020_01,0.0,1.0,2.0,1.0,0.0,0,16.0,4.0,0.0,1.0,238.0,6.0,5.0,0.0,0.0,0.0
0020_02,0.0,1.0,0.0,49.0,0.0,0,16.0,4.0,0.0,1.0,238.0,6.0,5.0,0.0,0.0,0.0
0020_03,0.0,1.0,0.0,29.0,0.0,0,16.0,4.0,0.0,1.0,1262.0,5.0,5.0,0.0,0.0,0.0
0020_04,0.0,0.0,2.0,10.0,0.0,1,16.0,4.0,0.0,1.0,1082.0,0.0,5.0,0.0,0.0,0.0
0020_05,0.0,1.0,1.0,1.0,0.0,0,16.0,4.0,0.0,1.0,238.0,6.0,5.0,0.0,0.0,0.0
0020_06,0.0,0.0,2.0,7.0,0.0,0,16.0,4.0,0.0,1.0,1262.0,5.0,5.0,0.0,0.0,0.0
0022_01,2.0,0.0,2.0,21.0,0.0,0,17.0,3.0,0.0,0.0,1075.3795779854433,3.3887901671937763,0.0,71.0,880.0,596.0
0024_01,1.0,1.0,2.0,62.0,0.0,1,18.0,2.0,931.0,1.0,797.0,0.0,0.0,0.0,0.0,0.0
0025_01,0.0,0.0,2.0,15.0,0.0,0,19.0,5.0,1375.0,1.0,257.0,2.0,0.0,221.0,896.0,694.0
0026_01,1.0,0.0,0.0,34.0,0.0,0,20.0,2.0,0.0,0.0,2066.0,1.0,0.0,1793.0,1363.0,2083.0
0028_01,2.0,0.0,2.0,43.0,0.0,0,21.0,5.0,1596.0,0.0,1236.0,4.0,0.0,135.0,1016.0,745.0
0030_01,0.0,0.0,2.0,32.0,0.0,0,22.0,6.0,1153.0,1.0,1369.0,3.0,0.0,833.0,808.0,1031.0
0031_01,2.0,0.0,2.0,47.0,0.0,1,23.0,5.0,1707.0,0.0,541.0,3.0,2.0,1090.0,1183.0,1385.0
0031_02,2.0,0.0,2.0,2.0,0.0,1,23.0,5.0,1707.0,0.0,541.0,3.0,2.0,0.0,0.0,0.0
0031_03,2.0,0.0,2.0,20.0,0.0,1,23.0,5.0,1707.0,0.0,541.0,3.0,2.0,1217.0,813.2792220262611,980.0
0034_01,1.0,1.0,0.0,28.0,0.0,1,24.0,3.0,1.0,1.0,1439.0,0.0,0.0,0.0,0.0,0.0
0035_01,2.0,0.0,0.0,23.0,0.0,0,25.0,3.0,1.0,0.0,306.0,4.0,0.0,852.0,1332.0,1337.0
0036_01,0.0,0.0,0.0,15.0,0.0,0,26.0,5.0,1596.0,1.0,1187.0,4.0,0.0,487.0,369.0,535.0
0038_01,0.0,0.0,0.0,20.0,0.0,0,27.0,5.0,2.0,1.0,2164.0,6.0,0.0,193.0,1759.0,1501.0
0039_01,0.0,1.0,0.0,30.0,0.0,0,28.0,6.0,1.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0
0041_01,0.0,1.0,2.0,17.0,0.0,1,29.0,6.0,931.0,0.0,1353.0,9.0,0.0,0.0,0.0,0.0
0043_01,1.0,0.0,2.0,45.0,0.0,0,30.0,1.0,1042.0,0.0,534.0,1.0,0.0,205.0,1795.0,1552.0
0044_01,0.0,1.0,2.0,55.0,0.0,0,31.0,6.0,1042.0,0.0,479.0,5.0,2.0,0.0,0.0,0.0
0044_02,0.0,1.0,0.0,4.0,0.0,1,31.0,6.0,1042.0,0.0,479.0,5.0,2.0,0.0,0.0,0.0
0044_03,0.0,1.0,1.0,21.0,0.0,1,31.0,6.0,1042.0,0.0,479.0,5.0,2.0,0.0,0.0,0.0
0045_01,2.0,0.0,2.0,21.0,0.0,0,32.0,5.0,2.0,0.0,391.0,3.0,1.0,178.0,920.0,688.0
0045_02,2.0,1.0,1.4901136879059849,19.0,0.0,1,32.0,5.0,2.0,0.0,391.0,3.0,1.0,0.0,0.0,0.0
0050_01,0.0,0.0,0.0,35.0,0.0,0,33.0,4.0,1.0,1.0,1170.0,1.0,0.0,0.0,0.0,0.0
0051_01,0.0,0.0,2.0,56.0,0.0,0,34.0,4.0,931.0,1.0,1096.0,5.0,0.0,111.0,1219.0,924.0
0052_01,0.0,0.0,2.0,30.20588064955358,0.0,0,35.0,6.0,1375.0,1.0,1024.0,7.0,0.0,2.0,1955.0,1750.0
0053_01,0.0,0.0,2.0,25.0,0.0,1,36.0,5.0,112.0,1.0,970.0,3.0,0.0,1277.0,1.0,1070.0
0056_01,1.0,0.0,2.0,2.0,0.0,1,37.0,0.0,1.0,1.0,2042.0,5.0,2.0,0.0,0.0,0.0
0056_02,1.0,1.0,2.0,38.0,0.0,1,37.0,0.0,1.0,1.0,2042.0,5.0,2.0,0.0,0.0,0.0
0056_03,1.0,0.0,2.0,27.0,0.0,1,37.0,0.0,1.0,1.0,2042.0,5.0,2.0,1648.0,499.0,1727.0
0058_01,0.0,1.0,1.0,36.0,0.0,0,38.0,6.0,1485.0,1.0,82.0,2.0,0.0,0.0,0.0,0.0
0061_01,0.0,0.0,2.0,22.0,0.0,0,39.0,5.0,220.0,1.0,1771.0,3.0,0.0,998.0,1176.0,1328.0
0062_01,0.0,0.0,2.0,62.0,0.0,0,40.0,5.0,329.0,1.0,886.0,5.0,0.0,531.0,42.0,236.0
0064_01,2.0,1.0,2.0,15.0,0.0,1,41.0,5.0,440.0,1.0,1907.8900635353928,4.330003414731338,1.0,0.0,0.0,0.0
0064_02,0.0,1.0,2.0,33.0,0.0,1,41.0,4.0,1042.0,1.0,1113.0,0.0,1.0,0.0,0.0,0.0
0066_01,0.0,0.0,2.0,62.0,0.0,0,42.0,6.0,1375.0,0.0,1507.0,2.0,0.0,330.0,405.0,405.0
